"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ME","205","Intro to Thermodynamics","2323","Mechanical & Industrial Engr","37","9","10","6","3","0","0","0","0","0","0","0","0","0","0","5","Manafzadeh, Saeed","70"
"ME","205","Intro to Thermodynamics","2323","Mechanical & Industrial Engr","8","12","11","7","5","0","0","0","0","0","0","0","0","0","0","4","Megaridis, Constantine M","47"
"ME","210","Engineering Dynamics","2323","Mechanical & Industrial Engr","18","18","6","0","0","0","0","0","0","0","0","0","0","0","0","2","Lilley, Carmen M","44"
"ME","210","Engineering Dynamics","2323","Mechanical & Industrial Engr","31","16","7","0","1","0","0","0","0","0","0","0","0","0","0","0","Scott, Michael J","55"
"ME","211","Fluid Mechanics l","2323","Mechanical & Industrial Engr","3","1","12","12","10","0","0","0","0","0","0","0","0","0","0","3","Mirbod, Parisa","41"
"ME","211","Fluid Mechanics l","2323","Mechanical & Industrial Engr","11","19","19","8","0","0","0","0","0","0","0","0","0","0","0","2","Yarin, Alexander","59"
"ME","250","Intro to Engineering Design","2323","Mechanical & Industrial Engr","62","4","3","2","0","0","0","0","0","0","0","0","0","0","0","3","Siow, Yeow","74"
"ME","250","Intro to Engineering Design","2323","Mechanical & Industrial Engr","55","15","4","0","0","0","0","0","0","0","0","0","0","0","0","4","Szwalek, Jamison","78"
"ME","261","Materials for Manufacturing","2737","Civil, Matls & Env Engineering","6","4","6","2","1","0","0","0","0","0","0","0","0","0","0","1","Kadkhodaei, Sara","20"
"ME","308","Mechanical Vibrations","2323","Mechanical & Industrial Engr","62","18","3","4","0","0","0","0","1","0","0","0","0","0","0","2","Siow, Yeow","90"
"ME","312","Dynamic Syst & Control","2323","Mechanical & Industrial Engr","14","26","31","3","0","0","0","0","0","0","0","0","0","0","0","3","Cetin, Sabri","77"
"ME","320","Mechanisms&Dynamics/Machinery","2323","Mechanical & Industrial Engr","16","8","4","2","2","0","0","0","0","0","0","0","0","0","0","0","Brown, Michael A","32"
"ME","320","Mechanisms&Dynamics/Machinery","2323","Mechanical & Industrial Engr","7","19","4","3","1","0","0","0","0","0","0","0","0","0","0","0","Finan, John Desmond","34"
"ME","321","Heat Transfer","2323","Mechanical & Industrial Engr","24","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","Jung, Eunjung","55"
"ME","321","Heat Transfer","2323","Mechanical & Industrial Engr","6","5","2","1","2","0","0","0","0","0","0","0","0","0","0","2","Lynch, Patrick T","18"
"ME","325","Intermediate Thermodynamics","2323","Mechanical & Industrial Engr","12","16","19","1","4","0","0","0","0","0","0","0","0","0","0","3","Anand, Sushant","55"
"ME","325","Intermediate Thermodynamics","2323","Mechanical & Industrial Engr","16","17","14","5","4","0","0","0","0","0","0","0","0","0","0","4","Manafzadeh, Saeed","60"
"ME","341","Exp Methods in Mech Engr","2323","Mechanical & Industrial Engr","41","9","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Szwalek, Jamison","54"
"ME","347","Computer-Aided Design","2323","Mechanical & Industrial Engr","7","10","6","1","1","0","0","0","0","0","0","0","0","0","0","1","Hatami Marbini, Hamed","26"
"ME","370","Mechanical Engineering Design","2323","Mechanical & Industrial Engr","10","37","30","3","1","0","0","0","0","0","0","0","0","0","0","2","Subramanian, Arunkumar","83"
"ME","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","7","25","13","2","0","0","0","0","0","0","0","0","0","0","0","2","Abiade, Jeremiah T","49"
"ME","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","18","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Shahbazian-Yassar, Reza","33"
"ME","396","Senior Design I","2323","Mechanical & Industrial Engr","13","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Brown, Michael A","25"
"ME","396","Senior Design I","2323","Mechanical & Industrial Engr","81","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Komperda, Jonathan","93"
"ME","396","Senior Design Project","2323","Mechanical & Industrial Engr","25","9","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Brown, Michael A","36"
"ME","410","Automation & Robotics Applic","2323","Mechanical & Industrial Engr","24","15","4","3","3","0","0","0","1","0","0","0","0","0","0","4","Bhounsule, Pranav Audhut","54"
"ME","411","Mechatronics I","2323","Mechanical & Industrial Engr","32","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","Kim, Myunghee","38"
"ME","428","Numerical Methods in ME","2323","Mechanical & Industrial Engr","24","18","8","6","1","0","0","0","0","0","0","0","0","0","0","2","Bhounsule, Pranav Audhut","59"
"ME","429","Internal Combustion Engines","2323","Mechanical & Industrial Engr","16","11","5","1","0","0","0","0","0","0","0","0","0","0","0","0","Manafzadeh, Saeed","33"
"ME","494","Data Science & Machine Learnin","2323","Mechanical & Industrial Engr","34","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Sankaranarayanan, Subramanian","38"
"ME","499","Prof Development Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0","Nicolsen, Brynne E","38"
"ME","517","Microfluidics","2323","Mechanical & Industrial Engr","15","6","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Xu, Jie","23"
"ME","562","Biomedical Implants","2437","Biomedical Eng - Engineering","21","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Mathew, Mathew","25"
"ME","594","Microsystems for Biomedical Ap","2323","Mechanical & Industrial Engr","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jung, Eunjung","26"
"ME","595","Mechanical Engineering Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","152","1","0","Hatami Marbini, Hamed","153"
"ME","599","PhD Thesis Research","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Sankaranarayanan, Subramanian","10"
"MENG","404","Math Fundamentals AI Engineers","2284","Engineering Admin","6","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","Shulman, Andrew M","11"
